TAESD32,AESD32,TAESD64,AESD64,TAESE32,AESE32,TAESE64,AESE64,TCRC32,CRC32,TCRC64,CRC64,TDIJK32,DIJK32,TDIJK64,DIJK64,TFFT32,FFT32,TFFT64,FFT64,TQSORT32,QSORT32,TQSORT64,QSORT64,TSSEARCH32,SSEARCH32,TSSEARCH64,SSEARCH64,TMXM32,MXM32,TMXM64,MXM64,TSUSANC32,SUSANC32,TSUSANC64,SUSANC64,TSUSANE32,SUSANE32,TSUSANE64,SUSANE64,TSUSANS32,SUSANS32,TSUSANS64,SUSANS64
112489530,0.49269,113841729,0.30709,105089500,0.51769,67502736,0.33757,113354256,0.23931,125051103,0.21533,141355647,0.50169,140778495,0.23026,174111528,0.24889,192049332,0.31869,105307695,0.66389,65457654,0.2288,30749877,0.51853,50808915,0.1971,130197375,0.50136,84920502,0.31598,20865147,0.33693,22361133,0.25183,29577036,0.45433,38460768,0.22062,75618936,0.33666,97870350,0.30375
113288625,0.49564,118397823,0.3016,105125000,0.52764,67547325,0.34156,113900847,0.24181,125119239,0.21821,147031476,0.48926,141542520,0.23353,180687654,0.24226,194708139,0.32172,107347266,0.67014,67684599,0.22548,30874626,0.52046,50908113,0.19724,130669818,0.51216,85459077,0.31779,20868153,0.3462,24502407,0.23279,29690262,0.45396,38475798,0.22108,76287771,0.33921,101902398,0.29946
115007055,0.49652,118858743,0.30451,109798500,0.51071,67599930,0.34438,116610756,0.23866,127927344,0.21846,149778459,0.48994,145902723,0.23039,180710199,0.24966,195531282,0.32604,107513097,0.67673,68951628,0.22377,30984846,0.52185,51075948,0.1977,132686343,0.51135,86597349,0.31753,21113142,0.3473,26385165,0.23501,29941263,0.4509,38475798,0.22159,76484163,0.34193,104035155,0.29878
118995015,0.48825,121242000,0.30289,111201500,0.51691,67658547,0.34917,118592211,0.23941,131751978,0.21616,150991380,0.49312,149200806,0.23072,183310890,0.25129,203657502,0.32224,110129820,0.66992,69314352,0.22641,31319013,0.51978,51137571,0.19918,134793549,0.51383,88820787,0.31897,21176769,0.35062,30814506,0.2234,30362604,0.44567,38590527,0.22157,77609409,0.34619,104533650,0.30172
119186898,0.49603,121529073,0.30601,111679000,0.52021,68393013,0.35066,119673870,0.23985,132698868,0.21805,151099596,0.50726,152032458,0.23045,188704155,0.24876,211404966,0.31539,110893845,0.67984,71045808,0.22462,31582038,0.51931,51480756,0.19979,135142746,0.51571,89454051,0.32107,21190797,0.35947,31415706,0.22202,30391161,0.44641,39026397,0.2201,77754699,0.3548,109290144,0.29466
120082185,0.49967,123135780,0.30655,112913500,0.5241,68443614,0.35464,119795112,0.24225,136316589,0.21906,153275439,0.50855,155575029,0.22973,198944094,0.24009,214154955,0.32012,112579209,0.67747,71351919,0.22556,31863099,0.5192,52079451,0.19973,137153259,0.51385,91662960,0.31637,21253422,0.36353,32083038,0.22065,30460299,0.44739,39252849,0.21996,77775741,0.36813,110423907,0.2983
122150814,0.49843,126399294,0.30247,113247000,0.52912,72068850,0.34201,119853729,0.24584,141345627,0.22457,153764916,0.51731,158951268,0.22902,201716628,0.24035,214319784,0.32491,112754058,0.68762,72093900,0.22613,32503878,0.51303,52163118,0.20022,139453851,0.51779,94926474,0.31211,21512940,0.36698,32631633,0.2203,30518415,0.44815,39314472,0.2201,78014217,0.37172,111514083,0.30363
124195395,0.4979,126747489,0.30591,115558000,0.52353,72377466,0.34501,126896286,0.23674,142294020,0.22495,154475334,0.5236,161328513,0.22928,203182053,0.24176,215395431,0.32904,114016578,0.68797,75182565,0.22167,32623116,0.51376,52233759,0.20073,141245928,0.51578,102751092,0.29454,21898710,0.36483,32821512,0.21999,30554988,0.44927,39940221,0.21777,78695577,0.37102,115015071,0.30084
125218938,0.50196,127597686,0.30908,117785000,0.52176,72833877,0.34734,128194377,0.23906,145437795,0.22269,164279904,0.49913,164071488,0.22759,204072330,0.24301,216655446,0.33157,115770579,0.68704,75814326,0.2228,33302973,0.50707,52342476,0.20102,142507446,0.51664,104249583,0.29729,21900213,0.37673,33089547,0.22077,30808995,0.4468,39960762,0.21806,79002690,0.37368,119931384,0.2955
127303599,0.50009,128064117,0.31262,117814000,0.52885,74597397,0.34382,128800587,0.24303,147018450,0.22278,166781898,0.49821,170962242,0.22248,210142947,0.24017,226291179,0.32388,121167852,0.67049,76662018,0.22434,33311991,0.51175,52526343,0.20132,151986867,0.48835,107477025,0.29368,21955824,0.38154,33106581,0.23192,30915207,0.44605,40070481,0.21792,79496175,0.37604,120291603,0.30066
