TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
2761210899,0.54312,2123034093,0.53301
2762852175,0.54421,2125096710,0.53352
2776871157,0.54223,2128202910,0.53349
2780704308,0.54226,2129117736,0.53418
2782531455,0.5429,2129180862,0.53504
2783292975,0.54371,2133169323,0.53484
2789859582,0.54311,2133513510,0.53609
2791831518,0.54354,2139241944,0.53555
2795187216,0.54391,2140898751,0.53577
2797861053,0.54379,2150791998,0.53436
2798927181,0.54421,2152355619,0.53501
2803213236,0.54415,2152421751,0.53584
2806514325,0.54414,2155250397,0.53571
2806539375,0.54488,2156972334,0.53577
2807804400,0.54578,2160709293,0.53537
2810911602,0.54602,2161903677,0.53575
2812451676,0.54638,2166662676,0.53595
2817900552,0.54602,2173768359,0.53548
2819938620,0.54633,2176565442,0.53547
2820773787,0.54691,2180221239,0.53523
2827551816,0.54645,2185337451,0.53494
2831629956,0.54634,2193175596,0.53397
2836914003,0.54601,2197317363,0.53393
2840580822,0.54638,2200513743,0.53395
2843169990,0.54643,2205140478,0.5335
2844143934,0.5468,2209471122,0.53336
2846288715,0.54732,2215630917,0.5327
2852550213,0.5469,2217511671,0.53326
2868242034,0.54444,2219776191,0.53351
2871901839,0.54437,2220532701,0.53395
2879833671,0.54341,2222715057,0.53411
2908819527,0.53885,2225504625,0.53424
2918153157,0.53798,2229265131,0.5338
2920914168,0.5381,2231543679,0.5343
2927305425,0.53783,2233020126,0.53472
2934771828,0.5378,2235915906,0.53487
2942407068,0.5369,2236692957,0.53539
2946958152,0.53697,2241294642,0.53494
2947404543,0.53782,2257945878,0.53172
2959807299,0.53644,2261801574,0.53158
2960038761,0.53747,2261822616,0.53225
2960789760,0.53831,2264429319,0.53231
2961877431,0.539,2267506461,0.53208
2968469589,0.53868,2270674284,0.53213
2976448515,0.53777,2270995425,0.53295
2981981559,0.53786,2273940303,0.53308
2984693472,0.53847,2286006387,0.53071
2994322191,0.53765,2292757863,0.52981
3009371229,0.53557,2294427195,0.52999
3020328099,0.53424,2294724789,0.53115
3023730390,0.53471,2295406149,0.53142
3027950313,0.53435,2303178663,0.53071
3033075543,0.53427,2303952708,0.53117
3033791973,0.53494,2307665619,0.53139
3035451786,0.53567,2307901590,0.53241
3038296464,0.53608,2312275821,0.53211
3038692755,0.53712,2314834428,0.53251
3040225314,0.53754,2314897053,0.53317
3046525890,0.53722,2320621980,0.53262
3048270873,0.53766,2333084355,0.53081
3051367053,0.53778,2334466614,0.53115
3059162613,0.53722,2337434538,0.53114
3060351486,0.53788,2339006175,0.53146
3062451678,0.53815,2341495644,0.53165
3063457185,0.53867,2348748120,0.53084
3068988726,0.53876,2351517648,0.53091
